ID,Game,Away Team,Home Team,Pick Type,Pick Team,Pick Description,Odds,Confidence,Result,Status,Start Time,Settled At,League,Market Type,Reasoning,Created At,Last Updated,Graded At,Notes,Win Loss,Is Winner,Confidence Level,Is Enhanced,Source
2025_03_NYJ_TB_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 63.1% confidence (FPI-adjusted),,2025-10-24T23:07:21.504372+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_NYJ_TB_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 43.5 with 62.3% confidence,,2025-10-24T23:07:21.504728+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_PIT_NE_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 71.3% confidence (FPI-adjusted),,2025-10-24T23:07:21.505153+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_03_PIT_NE_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts PIT covers with 53.1% confidence,,2025-10-24T23:07:21.505366+00:00,,,WIN,True,LOW,True,firebase_existing
2025_03_PIT_NE_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 85.9% confidence,,2025-10-24T23:07:21.505630+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_04_BAL_KC_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 61.0% confidence (FPI-adjusted),,2025-10-24T23:07:21.505904+00:00,,,WIN,True,LOW,True,firebase_existing
2025_04_BAL_KC_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts BAL covers with 53.3% confidence,,2025-10-24T23:07:21.506115+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_04_BAL_KC_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 48.5 with 64.1% confidence,,2025-10-24T23:07:21.506279+00:00,,,WIN,True,LOW,True,firebase_existing
2025_04_CAR_NE_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 77.0% confidence (FPI-adjusted),,2025-10-24T23:07:21.508049+00:00,,,WIN,True,LOW,True,firebase_existing
2025_04_CAR_NE_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 42.5 with 78.7% confidence,,2025-10-24T23:07:21.508341+00:00,,,WIN,True,LOW,True,firebase_existing
2025_04_CHI_LV_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 61.8% confidence (FPI-adjusted),,2025-10-24T23:07:21.508589+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_04_CHI_LV_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 47.5 with 81.2% confidence,,2025-10-24T23:07:21.509370+00:00,,,WIN,True,LOW,True,firebase_existing
2025_04_CIN_DEN_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 66.0% confidence (FPI-adjusted),,2025-10-24T23:07:21.509688+00:00,,,WIN,True,LOW,True,firebase_existing
2025_04_CIN_DEN_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts CIN covers with 54.4% confidence,,2025-10-24T23:07:21.510030+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_04_CIN_DEN_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 74.6% confidence,,2025-10-24T23:07:21.510513+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_04_CLE_DET_moneyline,,,,,,,-110,,W,completed,,,NFL,,Model prediction with 64.5% confidence (FPI-adjusted),,2025-10-24T23:07:21.510941+00:00,,,WIN,True,LOW,True,firebase_existing
2025_04_CLE_DET_spread,,,,,,,-110,,L,completed,,,NFL,,Model predicts CLE covers with 51.5% confidence,,2025-10-24T23:07:21.511253+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_04_CLE_DET_total,,,,,,,-110,,L,completed,,,NFL,,Model predicts OVER 44.5 with 69.6% confidence,,2025-10-24T23:07:21.513866+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_04_GB_DAL_moneyline,,,,,,,-110,,L,completed,,,NFL,,Model prediction with 71.9% confidence (FPI-adjusted),,2025-10-24T23:07:21.514077+00:00,,,LOSS,False,LOW,True,firebase_existing
2025_04_GB_DAL_spread,,,,,,,-110,,W,completed,,,NFL,,Model predicts GB covers with 55.1% confidence,,2025-10-24T23:07:21.514240+00:00,,,WIN,True,LOW,True,firebase_existing
2025_04_GB_DAL_total,,,,,,,-110,,W,completed,,,NFL,,Model predicts OVER 47.5 with 83.0% confidence,,2025-10-24T23:07:21.514389+00:00,,,WIN,True,LOW,True,firebase_existing
